Row Labels,Count of item_description_raw
StructuralConcrete (Item D-752),1
Unclassified Excavationfor Structures (Item D-752),1
PIPING_UTILITY,59
Gate Valve,6
Manhole,5
Storm Sewer Pipe,4
DIP Water Pipe,3
Water Pipe,3
DIP (Force Main) (Section 334100),2
Ductile Iron (Force Main) Pipe (Section 334100),2
Riprap (Section 334100),2
Air Release Valve Assembly,1
Bedding and Pipe Zone Material,1
Butterfly Valve,1
Catch Basin,1
CleanoutStructures (Section 330516),1
Columbia Slough Outfall Structure,1
DR9 Pex Water Pipe,1
Ductile Iron Sewer Pipe,1
Fire Hydrant Assembly,1
Fire Water Line (Section 331116),1
Gate Valve (Section 331116),1
Manhole and Catch Basin Adjustment,1
McBride Slough Intake Structure,1
Modifications to Existing Wet Well,1
Pipe Zone and Bedding Material,1
Pump Station (Section 334213),1
Pump Station Electrical Equipment Installation (Section 334213),1
Removal of Existing Lid from Stormwater Treatment Vault,1
"Removal of Existing Storm Pipe, Manholes, Pumps, Valves, Hangers, Vaults, and Brackets",1
Remove and Reinstall 12-Inch Ductile Iron Pipe,1
Remove and Reinstall Catch Basin,1
Septic Tank and Drain Field Removal,1
Sewer Pipe,1
Storm Sewer (Force Main) Pipe,1
Storm Sewer Pipe (RCP),1
Stormwater Flow Through Pollution Reduction Facility,1
Stormwater Pump Station,1
"Stormwater Pump Station, Electrical Equipment Installation (Section 334213)",1
Stormwater Treatment Vault Cover,1
Stormwater Treatment Vaults,1
Stormwater Valve Vault (Section 334213),1
Underground Fire Hydrant (Section 331116),1
OTHER_REVIEW,87
UNCLASSIFIED_REVIEW,87
#REF!,1
0,1
Adjustment of Existing Structures (H-20 Rated Vaults),1
Aircraft - Rated Electrical Vaults,1
Airfield Fire Water Disconnection,1
Barge and Access Equipment,1
Bollard,1
Bollards,1
Central Water Meter Vault and Manifold,1
Chain - Link Slatted Fence Fabric,1
Compacted Bedding Material,1
Concrete Walks,1
Connection to Existing Utility,1
Containment,1
Corrugated Metal Riser,1
Crack Seal,1
Deck Crack Repair,1
Deck Delamination and Spall Repair,1
Deck Delamination and Spall Repair with Anodes,1
Deck Surface Repair,1
Deck Surface Repair with Cathodic Protection,1
Deck Topping Repair,1
Deck Topping Replacement,1
Electric Utility Meter Base - 200A Direct,1
Electrical,1
Electrical Bedding Material,1
Electrical Demo (Existing ORANG),1
Electrical Feeder Conductor Assembly,1
Electrical Feeder Conductor Termination and Testing,1
Electrical Feeder Installation in Vaults,1
Electrical Modifications,1
Embankment,1
Encasement Over Existing Waterlin,1
"Fill Material, Top Soil",1
H-20 Traffic - Rated Electrical Vaults,1
H-Frame Support,1
"HDPE Interduct (Comm) - 1 1/4""",1
Hand Rail,1
Inlet (Type PB),1
