specification,smart_clean_description,row_count,raw_variants_collapsed,representative_raw,sample_project
260500,Install Underground Power Conductors for Apron Lights and Communications,8,1,Install Underground Power Conductors for Apron Lights and Communications (Section 260500),2018D029
260500,Provide Temporary Power During Construction Inside the 480V Power Center,8,1,Provide Temporary Power During Construction Inside the 480V Power Center (Section 260500),2018D029
260500,Re-feed Loads Inside 480V Power Center,8,1,Re-feed Loads Inside 480V Power Center (Section 260500),2018D029
260526,Grounding and Bonding for Electrical Systems,8,1,Grounding and Bonding for Electrical Systems (Section 260526),2018D029
260543,Underground Ducts and Raceways for Electrical Systems,8,1,Underground Ducts and Raceways for Electrical Systems (Section 260543),2018D029
262200,Remove and Replace Existing 9KVA Transformer,8,1,Remove and Replace Existing 9KVA Transformer (Section 262200),2018D029
262400,Remove and Replace Existing 480V Distribution Panel,8,1,Remove and Replace Existing 480V Distribution Panel (Section 262400),2018D029
265623,Install Apron Lighting,8,1,Install Apron Lighting (Section 265623),2018D029
270553,Telecommunications Identification,8,1,Telecommunications Identification (Section 270553),2018D029
271000,Structured Cabling,8,1,Structured Cabling (Section 271000),2018D029
282300,Video Surveillance,8,1,Video Surveillance (Section 282300),2018D029
312300,Rotate Existing Manhole Lid,8,1,Rotate Existing Manhole Lid (Section 312300),2018D029
321613,Cast-in-Place Concrete Curb,8,1,Cast-in-Place Concrete Curb (Section 321613),2018D029
321613,Concrete Utility Hub Pavement,8,1,Concrete Utility Hub Pavement - 4-Inch (Section 321613),2018D029
323113,Chain Link Fance with Barbed Wire,8,1,7-Foot Chain Link Fance with Barbed Wire (Section 323113),2018D029
323113,Chain Link Fence with Slats and Barbed Wire,8,1,10-Foot Chain Link Fence with Slats and Barbed Wire (Section 323113),2018D029
328400,Irrigation Replacement,8,1,Irrigation Replacement (Section 328400),2018D029
329300,Ground Cover Planting,8,1,Ground Cover Planting (Section 329300),2018D029
331116,Fire Water Line,8,1,8-Inch Fire Water Line (Section 331116),2018D029
331116,Gate Valve,8,1,8-Inch Gate Valve (Section 331116),2018D029
331116,Underground Fire Hydrant,8,1,Underground Fire Hydrant (Section 331116),2018D029
347113,Pipe Bollards,8,1,Pipe Bollards (Section 347113),2018D029
P-153,Controlled Low Strength Material,8,1,Controlled Low Strength Material (Item P-153),2018D029
P-620,Temporary Marking,8,1,Temporary Marking (Item P-620),2018D029
UNCLASSIFIED,Adjustment of Existing Structures (H-20 Rated Vaults),8,1,Adjustment of Existing Structures (H-20 Rated Vaults),2016D015
UNCLASSIFIED,Bollard,8,1,Bollard,2016D015
UNCLASSIFIED,Concrete Curb Removal,8,1,Concrete Curb Removal,2016D015
UNCLASSIFIED,Concrete Wall Removal,8,1,Concrete Wall Removal,2016D015
