Estimate Item,Bid Tab Count,Project EAN,Raw Bid Tab Item Description
510101 Asphalt Concrete Pavement Milling,1,2018D027,Cold Milling - 12-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,2,2022D028,Cold Milling - 2- to 4-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,2,2015D142,Cold Milling - 2-Inch Maximum Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,2,2018D027,Cold Milling - 3-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,2,2017D013,Cold Milling - 3-Inch Maximum Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2015D147,Cold Milling - 4 Inch Maximum Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2018D027,Cold Milling - 4-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2015D142,Cold Milling - 4.5-Inch Maximum Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2020D022,Cold Milling - 6-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,2,2023D016,Cold Milling 3-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2023D016,Cold Milling Surface Preparation (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2023D016,Cold Milling Variable to 10-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2019D031,ColdMilling-0.5InchDepth (ItemP-101)
510101 Asphalt Concrete Pavement Milling,1,2019D031,ColdMilling-VariableDepth(Transitional)(ItemP-101)
510101 Asphalt Concrete Pavement Milling,1,2023D016,Full-Depth Asphalt Pavement Removal - 10 to 19 Inches) (Item P-101)
510101 Asphalt Concrete Pavement Milling,3,2018D027; 2018D029; 2022D027,PCC Pavement Removal - 15-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2023D025,PCC Pavement Removal - 16 Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2017D013,PCC Pavement Removal - 16-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2018D027,PCC Pavement Removal - 18-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2015D147,"PCC Pavement Removal - 3"" Depth (Item P-101)"
510101 Asphalt Concrete Pavement Milling,1,2017D013,PCC Pavement Removal - 3-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2017D013,PCC Pavement Removal - 4-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2015D147,"PCC Pavement Removal - 6"" Depth (Item P-101)"
510101 Asphalt Concrete Pavement Milling,1,2018D027,PCC Pavement Removal - 6-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2023D011,"Pavement Removal (Full Depth Asphalt Concrete, 4-17.5 Inches) (Item P-101)"
510101 Joint and Crack Repair,1,2021D025,Joint Repair
510101 Joint and Crack Repair,4,2015D142; 2015D147; 2017D013; 2023D011,Joint and Crack Repair (Item P-101)
510101 Joint and Crack Repair,5,2018D027; 2022D027; 2022D028; 2023D016,Removal of Pipe and Other Buried Structures (Item P-101)
510101 Joint and Crack Repair,2,2018D029; 2023D011,Removal of Pipe and other Buried Structures (Item P-101)
510101 Saw Cutting,1,2020D022,Cold Millling - 3-Inch Depth (Item P-101)
510101 Saw Cutting,1,2019D031,RemovalofPipeandOtherBuriedStructures (ItemP-101)
510152 Borrow,1,2015D142,Borrow Excavation (P-152)
510152 Borrow,1,2019D031,EmbankmentinPlace (ItemP-152)
510152 Borrow,1,2019D031,MechanicalStabilization (ItemP-152)
510152 Geotextile,3,2015D142; 2015D147; 2017D013,Geotextile (Item P-152)
510152 Geotextile,2,2018D029; 2022D027,Separation Geotextile (Item P-152)
510152 Subgrade Preparation,3,2022D028; 2023D011; 2023D016,Existing Subgrade Stabilzation (Item P-152)
510152 Subgrade Preparation,1,2019D031,ExistingSubgradeStabilzation (ItemP-152)
510152 Subgrade Preparation,2,2023D025,Subgrade Stabilzation (Item P-152)
510152 Unclassified Excavation,10,2017D013; 2018D027; 2018D029; 2022D027; 2022D028; 2023D011; 2023D016; 2023D025,Unclassified Excavation (Item P-152)
510152 Unclassified Excavation,1,2015D147,Unclassified Excavation (P-152)
510152 Unsuitable Excavation,7,2015D142; 2015D147; 2017D013; 2018D027; 2018D029; 2022D027,Unsuitable Excavation (Item P-152)
510152 Unsuitable Excavation,1,2019D031,UnsuitableExcavation (ItemP-152)
510154 Subbase Course,3,2018D027; 2023D011,Separation Geotextile (Item P-154)
510154 Subbase Course,6,2015D142; 2015D147; 2017D013; 2018D027; 2023D011,Subbase Course (Item P-154)
510154 Subbase Course,1,2019D031,SubbaseCourse (ItemP-154)
510156 Ditch Protection,1,2020D009,Ditch Protection
510156 Sediment Fence,1,2017D013,Installation and Removal of Silt Fence (Item P-156)
510156 Sediment Fence,3,2015D142; 2015D147,Silt Fence (Item P-156)
520209 Crushed Aggregate Base Course,12,2015D142; 2015D147; 2017D013; 2018D027; 2018D029; 2022D027; 2022D028; 2023D011; 2023D016; 2023D025,Crushed Aggregate Base Course (Item P-209)
520209 Crushed Aggregate Base Course,1,2019D031,CrushedAggregateBaseCourse (ItemP-209)
520209 Crushed Aggregate Base Course,2,2022D028; 2023D016,Separation Geotextile (Item P-209)
520209 Crushed Aggregate Base Course,1,2019D031,SeparationGeotextile (ItemP-209)
540401 Asphalt Concrete Surface Course,11,2018D027; 2018D029; 2020D022; 2022D027; 2022D028; 2023D011; 2023D016,Asphalt Surface Course (Item P-401)
540401 Asphalt Concrete Surface Course,1,2019D031,AsphaltSurfaceCourse (ItemP-401)
540401 Asphalt Concrete Surface Course,2,2017D013,Bituminous Surface Course (Item P-401)
540401 Asphalt Concrete Surface Course,1,2015D142,Hot Mix Asphalt (HMA) Bituminous Surface Course (Item P-401)
540401 Asphalt Concrete Surface Course,1,2015D147,Hot Mix Asphalt (HMA) Pavement (Item P-401)
540403 Bituminous Base Course,4,2018D029; 2022D027; 2023D011; 2023D016,Asphalt Mixture Base Course (Item P-403)
540403 Bituminous Base Course,1,2022D028,Asphalt Mixture Base and Surface Course (Item P-403)
540403 Bituminous Base Course,2,2018D027,Asphalt Mixture Surface and Base (Item P-403)
540403 Bituminous Base Course,1,2017D013,HMA Base Course (Item P-403)
540403 Bituminous Base Course,1,2015D142,Hot Mix Asphalt (HMA) Base Course (Item P-403)
540403 Bituminous Base Course,2,2015D142; 2015D147,Hot Mix Asphalt (HMA) Pavement Base Course (Item P-403)
540403 Leveling Course,1,2023D025,Asphalt Mixture Surface Course (Item P-403)
