pay_item_id,item_code_raw,item_code_norm,section_code_raw,section_code_norm,item_desc_canonical
47443784353892,,,344301,344301,Adjust Existing Elevated Runway Threshold/Edge Light (Section 344301)
47855265978491,L-110,L-110,,,1-Inch IMC in Existing AC (Item L-110)
47904207176961,,,,,"Pavement Marking, Thermoplastic"
47993636007969,,,344302,344302,Sign EA-15 (Section 344302)
48037362848777,D-705,D-705,,,Non-Perforated Underdrain Pipe (6-inch) (Item D-705)
48490790316028,P-101,P-101,,,PCC Pavement Removal - 15-Inch Depth (Item P-101)
48616638207259,,,,,"No.8AWG,5kV,L-824,TypeCCableInstalledinTrench,DuctBank,orConduit(ItemL-108)"
49210449290132,,,,,Work Zone Traffic Control
49399117166567,,,,,Trench Excavation and Select Native Backfill
49991999332150,,,271000,271000,Data Drop to Each Enclosure and Chargers (Section 271000)
50359835983867,D-751,D-751,,,Catch Basin (Item D-751)
50859947957422,,,,,12-inchSTS (ItemD-701)
51187554186215,,,260500,260500,"New Electrical Panels, 800A (Section 260500)"
51310582208518,P-620,P-620,,,Permanent Pavement Marking (Item P-620)
51583055499790,D-751,D-751,,,"48-Inch Manhole, Type A (Item D-751)"
52359625357476,,,344302,344302,Sign B1-1 (Section 344302)
52839797030740,,,271000,271000,"Data Equipment Rack & Data Connections 1"" Conduit (Section 271000)"
53903385706212,,,260500,260500,Temporary Circuit Connection (Section 260500)
53945656804581,,,344302,344302,Sign UL-2 (Section 344302)
54150709523073,,,,,Deck Topping Repair
54150920844769,,,,,Containment
54218241452597,,,,,Sidewalk
54916373908107,P-101,P-101,,,Cold Milling Variable to 10-Inch Depth (Item P-101)
54982502021618,L-110,L-110,,,2-Inch PVC Encased in Concrete in New Structural AC (Item L-110)
55278809461341,D-751,D-751,,,Manholes (Item D-751)
55336270158789,P-101,P-101,,,Asphalt Pavement Removal - 11-Inch Depth (Item P-101)
55352135498390,,,344302,344302,Sign A5-8 (Section 344302)
55412734601345,,,,,Removal of Existing Lid from Stormwater Treatment Vault
56127630758734,,,,,108-Inch Manhole
56340546312186,,,344300,344300,Install Elevated Runway Guard Light on Existing Base Can with PF Transformer (Section 344300)
56823068770207,,,,,Tree and Plant Protection
57040059841920,,,012200,012200,D9 Valve Vault (STSVLT 863) Concrete Repair (Section 012200)
57563162873591,L-110,L-110,,,2-inch PVC in Existing ACP Shoulder (Item L-110)
